Time,xm,zm,vxm,vzm,xM,zM,vxM,vzM,NormalForce,TangentialStress,MaximunBendingMoment,MinimunBendingMoment
0,-0.129949208708729,0.248018554055892,0,-1.5,-0.23355840922465,0.50814378076113,0,-1.5,412.215633430167,-133.72986043734,-57.7853755208841,20.2237097342307
0.012,-0.130993268774501,0.228522985256849,-0.230429328500786,-1.76467992596102,-0.231383324982844,0.489862166178554,0.373623478827518,-1.53830057358926,408.221118921444,-93.0564123522833,-19.6759683056039,13.5599954759826
0.024,-0.132810148597237,0.206818970954572,-0.0169023870741777,-1.8266341144649,-0.225130313695769,0.471133582752418,0.656941134594329,-1.58240632212865,405.753671476038,-48.0347280298657,-10.2423787780322,18.8666869666019
0.036,-0.131412788134174,0.184805375267395,0.248824899854658,-1.83723500423885,-0.215631150219463,0.452005827155816,0.925258872884922,-1.60049740519453,396.839945889213,-2.46274064830134,15.8425953439081,18.374964200088
0.048,-0.126870143065057,0.162847095165896,0.506611947143799,-1.81743525096007,-0.202956446727386,0.432843223468048,1.18549789436492,-1.58823431273972,381.618630661614,42.9295596552038,41.7780394602136,17.8381567017695
0.06,-0.119302433659828,0.141307234733646,0.752329297203438,-1.76759939788652,-0.187228090259722,0.414008333506325,1.43352790860901,-1.54597902812625,360.330945635954,87.4157772878662,67.1707324230281,17.2867718478159
0.072,-0.108878338177261,0.120541633428768,0.982040829815673,-1.68857205764528,-0.168616435555883,0.39585648527152,1.66541200988171,-1.47457358917168,333.315028695307,130.284054702012,91.6397160784967,16.7550996092607
0.084,-0.0958122918495099,0.100893178692768,1.19206665697122,-1.5816644098793,-0.14733760346962,0.378730085730709,1.87746957224088,-1.37532658667032,301.000533632963,170.848447200107,114.821153810989,16.2794357940084
0.096,-0.0803610547208747,0.082686325594101,1.37904192341533,-1.4486332437837,-0.123650048235254,0.362953140623944,2.06633505033428,-1.24999220780896,263.90176573048,208.459883669189,136.371949451866,15.8953071945251
0.108,-0.0628196031826345,0.0662219110751659,1.53997057335209,-1.29165288040453,-0.0978504484270659,0.348826068863861,2.22901174633831,-1.1007421593493,222.609464727623,242.516538107318,155.972055615466,15.6337298673527
0.12,-0.0435164108521778,0.0517723456640439,1.67227322419011,-1.1132804233437,-0.0702689872602577,0.336620894389411,2.3629196839217,-0.930130919220961,177.781366480678,272.473446219425,173.325889333204,15.5170150868888
0.132,-0.0228081942020906,0.0395772594809075,1.77382838237396,-0.916414893117145,-0.0412640976393657,0.326576892303571,2.46593682427867,-0.741054871771427,130.131694120471,297.851213422684,188.1638140408,15.5551716633514
0.144,-0.00107420689741442,0.029839672110029,1.84300634272992,-0.704250898143571,-0.0112167559125138,0.318896758865942,2.53643296565986,-0.536705979650205,80.4197466265252,318.243675119557,200.244824078457,15.7441219508511
0.156,0.0212898259897069,0.0227227475376478,1.87869522966199,-0.480227582638386,0.0194755844990634,0.313743366540435,2.573295784737,-0.320520732601398,29.4377671558141,333.32438683799,209.361059982029,16.0664312238921
0.168,0.043878036964513,0.0183471860074035,1.8803187640964,-0.247973667155706,0.0504053226725573,0.311237155949725,2.57594860369952,-0.0961251889073461,-22.0017150269293,342.851840535342,215.343805606995,16.4942619577983
0.18,0.06628090716422,0.0167892944679689,1.84784547228406,-0.0112494599554617,0.0811612018269512,0.311454206411062,2.54435959919239,0.13272301234001,-73.0788667592727,346.67332371678,218.06984020544,16.9934747536654
0.192,0.0880918157640399,0.0180797664445444,1.78178918931725,0.226113234225492,0.111334859319342,0.314425015885084,2.47904230595162,0.36219474156141,-122.979649894149,344.727359704809,217.466912379066,17.5276788011245
0.204,0.108913543083582,0.0222031908302519,1.67505475129306,0.460109978932822,0.140527330342964,0.320134009833639,2.38229496350545,0.588514189379963,-173.77130155008,337.277971349585,215.550998453666,19.7611329380579
0.216,0.127399148724883,0.0290827063930365,1.39236488874535,0.685693302689652,0.168517202151344,0.328525316175648,2.27855642595672,0.80849139503441,-225.637062875718,324.494806080665,210.966900527674,23.3013551128022
0.228,0.142952549932092,0.0386559699695088,1.21041849974662,0.908378342558482,0.194932841512839,0.339488387476748,2.11576285669556,1.01650631746016,-271.659133194051,305.926827550635,195.993880434554,19.7796401631482
0.24,0.15633609400043,0.050826664146328,1.01730687827309,1.11736761990028,0.219180832361614,0.352864326423454,1.92263782870723,1.21011383068318,-297.998775009052,281.574398477144,181.759630158101,19.7509233140872
0.252,0.16734095790672,0.0654003066736766,0.815983721265887,1.30827721558164,0.241047612701187,0.368458654896367,1.72090637685719,1.38564707626245,-306.189376671002,251.894073379318,163.755223674047,19.0585110011222
0.264,0.175905617982299,0.0821396680834639,0.611145816796899,1.47780095752948,0.260466921557596,0.386034269219102,1.51526555836551,1.5398100182242,-309.516947157187,217.541230751011,142.798756710639,18.1381958388702
0.276,0.182007422263739,0.100770087396656,0.406051378009317,1.62299474970552,0.277411374452958,0.405316755782699,1.30897411565682,1.66966868637879,-307.944599688268,179.065725641786,119.243064511768,17.0220662741322
0.288,0.185662859154613,0.120983865536494,0.203956901747946,1.74130369317777,0.291892735186905,0.425998784295773,1.10528933464161,1.77267829071726,-301.513712488379,137.08369698276,93.4912467284041,15.7538105359373
0.3,0.186927224251524,0.1424451880542,0.00806514687873122,1.83060305350643,0.303961585777081,0.447745030267116,0.907415022515688,1.84672418213342,-290.343257313492,92.2677216834186,65.9944353628096,14.3922280213397
0.312,0.185893667257808,0.164795498821013,-0.178526025181178,1.88923235434107,0.313706376480033,0.470197548374754,0.718450347599151,1.89015593937279,-274.627888167839,45.3360666693868,37.250954163294,13.0166583322147
