Time,x,z,vx,vz,TangentialStress,MinimunBendingMoment
0,0.197929077756982,0.529196636590106,2.05516849574007,1.75455093464185,-176.58,-123.606
0.012,0.222591099705863,0.549544927805808,2.05516849574007,1.63683093464185,-176.58,-123.606
0.024,0.247253121654744,0.56848057902151,2.05516849574007,1.51911093464185,-176.58,-123.606
0.036,0.271915143603624,0.586003590237212,2.05516849574007,1.40139093464185,-176.58,-123.606
0.048,0.296577165552505,0.602113961452915,2.05516849574007,1.28367093464185,-176.58,-123.606
0.06,0.321239187501386,0.616811692668617,2.05516849574007,1.16595093464185,-176.58,-123.606
0.072,0.345901209450267,0.630096783884319,2.05516849574007,1.04823093464185,-176.58,-123.606
0.084,0.370563231399148,0.641969235100021,2.05516849574007,0.930510934641854,-176.58,-123.606
0.096,0.395225253348029,0.652429046315724,2.05516849574007,0.812790934641854,-176.58,-123.606
0.108,0.419887275296909,0.661476217531426,2.05516849574007,0.695070934641854,-176.58,-123.606
0.12,0.44454929724579,0.669110748747128,2.05516849574007,0.577350934641853,-176.58,-123.606
0.132,0.469211319194671,0.67533263996283,2.05516849574007,0.459630934641854,-176.58,-123.606
0.144,0.493873341143552,0.680141891178532,2.05516849574007,0.341910934641854,-176.58,-123.606
0.156,0.518535363092433,0.683538502394235,2.05516849574007,0.224190934641854,-176.58,-123.606
0.168,0.543197385041314,0.685522473609937,2.05516849574007,0.106470934641854,-176.58,-123.606
0.18,0.567859406990195,0.686093804825639,2.05516849574007,-0.0112490653581465,-176.58,-123.606
0.192,0.592521428939076,0.685252496041341,2.05516849574007,-0.128969065358146,-176.58,-123.606
0.204,0.617183450887956,0.682998547257044,2.05516849574007,-0.246689065358146,-176.58,-123.606
0.216,0.641845472836837,0.679331958472746,2.05516849574007,-0.364409065358146,-176.58,-123.606
0.228,0.666507494785718,0.674252729688448,2.05516849574007,-0.482129065358146,-176.58,-123.606
0.24,0.691169516734599,0.66776086090415,2.05516849574007,-0.599849065358146,-176.58,-123.606
0.252,0.71583153868348,0.659856352119853,2.05516849574007,-0.717569065358146,-176.58,-123.606
0.264,0.740493560632361,0.650539203335555,2.05516849574007,-0.835289065358146,-176.58,-123.606
0.276,0.765155582581242,0.639809414551257,2.05516849574007,-0.953009065358146,-176.58,-123.606
0.288,0.789817604530123,0.627666985766959,2.05516849574007,-1.07072906535815,-176.58,-123.606
0.3,0.814479626479004,0.614111916982662,2.05516849574007,-1.18844906535815,-176.58,-123.606
0.312,0.839141648427885,0.599144208198364,2.05516849574007,-1.30616906535815,-176.58,-123.606
0.324,0.863803670376765,0.582763859414066,2.05516849574007,-1.42388906535815,-176.58,-123.606
0.336,0.888465692325646,0.564970870629768,2.05516849574007,-1.54160906535815,-176.58,-123.606
0.341446032238775,0.899658206209562,0.55642973925489,2.05516849574007,-1.59503464162053,-176.58,-123.606
0.341446032238779,0.899658206209569,0.556429739254884,2.05516849574007,-1.59503464162057,-176.58,-123.606
0.341446032238782,0.899658206209576,0.556429739254879,2.05516849574007,-1.5950346416206,-176.58,-123.606
