Time,x,z,vx,vz,NormalForce,TangentialStress,MinimunBendingMoment
0,-0.245277816584897,0.503427048033124,0,-1.5,5.6843418860808e-14,-176.58,-123.606
0.012,-0.245246146439227,0.484784830944844,0.00792072349996518,-1.60163987949389,23.7747056563173,-128.026538796245,-89.6185771573715
0.024,-0.245024359720023,0.465119390484221,0.031672583593839,-1.67037250547367,47.4278534879451,-77.9909192618243,-54.593643483277
0.036,-0.244423492309095,0.444830474228229,0.0710438391804624,-1.7054773049373,70.5681598004861,-27.2785695855387,-19.0949987098771
0.048,-0.243258677444061,0.424323236590073,0.125564234418736,-1.70677487815517,92.812399644146,23.2945844130422,16.3062090891296
0.06,-0.241352207427407,0.404001720113247,0.194512424756151,-1.67462965377958,113.791537709398,72.9151598086501,51.040611866055
0.072,-0.23853648196965,0.38426235708153,0.276927420025311,-1.60994385228174,133.156632562054,120.785316286618,84.5497214006326
0.084,-0.234656795995663,0.365487595304067,0.371623861808909,-1.51414285429084,150.584419871707,166.135507330497,116.294855131348
0.096,-0.229573922307867,0.348039749949086,0.477210891004275,-1.38915220774913,165.782485416699,208.236779132347,145.765745392643
0.108,-0.223166447777397,0.332255179686427,0.592114304149143,-1.23736664139878,178.493945203609,246.412420703949,172.488694492765
0.12,-0.21533282567219,0.318438880215553,0.714601644517401,-1.06161157984519,188.50155791484,280.048779034228,196.03414532396
0.132,-0.205993111266258,0.306859581585012,0.842809827096969,-0.86509777525743,195.631203968513,308.605066479754,216.023546535827
0.144,-0.195090352934754,0.297745427657917,0.974774856070959,-0.651369780754005,199.75467559558,331.622003678059,232.135402574641
0.156,-0.182591616443974,0.291280306774598,1.10846315998499,-0.424249088924977,200.791733348006,348.72915988043,244.110411916301
0.168,-0.168488626006156,0.287600892256837,1.24180404393204,-0.187772844185797,198.711396173389,359.650873414431,251.755611390102
0.18,-0.152798011792218,0.286794440054269,1.37272274023496,0.0538708916166635,193.532444437904,364.2106576742,254.94746037194
0.192,-0.135561159883652,0.28889737873389,1.4991735295404,0.296410285850476,185.323127855504,362.334022235899,253.633815565129
0.204,-0.11684354460297,0.293894721652009,1.61923620045028,0.535561846950252,174.742497419505,354.078380735677,247.854866514974
0.216,-0.0967291850156369,0.30172049607686,1.73179519548976,0.767119245368546,162.488816683431,339.55075041816,237.685525292712
0.228,-0.0753166342995934,0.312258590378931,1.83531497643134,0.986934505634505,147.658106351709,318.89886763231,223.229207342617
0.24,-0.0527243916872705,0.32534400948126,1.92814849559109,1.19102937105379,130.46987138594,292.452457386254,204.716720170378
0.252,-0.0290897914752313,0.340765464154199,2.00880780983878,1.37567674512838,111.181285714211,260.634270342369,182.443989239658
0.264,-0.0045669483671394,0.358268748513821,2.07598785882776,1.53746053678782,90.0830938493335,223.953327712861,156.767329399002
0.276,0.0206755653900463,0.377560806764808,2.12858732827644,1.67333053600219,67.4949760874188,182.996787393156,128.097751175209
0.288,0.046457274047647,0.398314424203597,2.16572626492746,1.78065144275507,43.7604513379886,138.420561301775,96.8943929112427
0.3,0.0725885428515852,0.420173467520542,2.18676016170981,1.85724526577679,19.2413990248365,90.9388338495997,63.6571836947198
0.312,0.098873469227055,0.442758590660576,2.19129028802644,1.90142641338105,-5.68771241636904,41.3126490201323,28.9188543140926
0.324,0.125112874541048,0.465673315060698,2.17917010008278,1.91202891551868,-30.6457982295429,-9.66225157514122,-6.76357610259886
0.336,0.151107348724876,0.48851038709837,2.15050762880341,1.88842534189605,-55.2512357897503,-61.1681453335652,-42.8177017334957
0.348,0.176660299193862,0.510858311153328,2.10566380715202,1.83053711369186,-79.1279516959945,-112.378396794171,-78.6648777559198
0.358218800154816,0.197929077756967,0.529196636590093,2.05516849574011,1.75455093464192,-98.6124608818016,-155.137638917888,-108.596347242521
0.35821880015482,0.197929077756975,0.529196636590099,2.05516849574009,1.75455093464188,-98.6124608818083,-155.137638917902,-108.596347242531
0.358218800154823,0.197929077756982,0.529196636590106,2.05516849574007,1.75455093464185,-98.6124608818149,-155.137638917917,-108.596347242542
