Time,x,z,vx,vz,TangentialStress,MinimunBendingMoment
0,-0.190341312606597,0.531972917276066,-2.42203456459877,1.95844555102201,-176.58,-123.606
0.012,-0.219405727381782,0.55476794388833,-2.42203456459877,1.84072555102201,-176.58,-123.606
0.024,-0.248470142156967,0.576150330500595,-2.42203456459877,1.72300555102201,-176.58,-123.606
0.036,-0.277534556932153,0.596120077112859,-2.42203456459877,1.60528555102201,-176.58,-123.606
0.048,-0.306598971707338,0.614677183725123,-2.42203456459877,1.48756555102201,-176.58,-123.606
0.06,-0.335663386482523,0.631821650337387,-2.42203456459877,1.36984555102201,-176.58,-123.606
0.072,-0.364727801257709,0.647553476949651,-2.42203456459877,1.25212555102201,-176.58,-123.606
0.084,-0.393792216032894,0.661872663561915,-2.42203456459877,1.13440555102201,-176.58,-123.606
0.096,-0.422856630808079,0.67477921017418,-2.42203456459877,1.01668555102201,-176.58,-123.606
0.108,-0.451921045583265,0.686273116786444,-2.42203456459877,0.898965551022014,-176.58,-123.606
0.12,-0.48098546035845,0.696354383398708,-2.42203456459877,0.781245551022014,-176.58,-123.606
0.132,-0.510049875133635,0.705023010010972,-2.42203456459877,0.663525551022014,-176.58,-123.606
0.144,-0.53911428990882,0.712278996623236,-2.42203456459877,0.545805551022014,-176.58,-123.606
0.156,-0.568178704684006,0.7181223432355,-2.42203456459877,0.428085551022014,-176.58,-123.606
0.168,-0.597243119459191,0.722553049847765,-2.42203456459877,0.310365551022014,-176.58,-123.606
0.18,-0.626307534234376,0.725571116460029,-2.42203456459877,0.192645551022014,-176.58,-123.606
0.192,-0.655371949009562,0.727176543072293,-2.42203456459877,0.0749255510220144,-176.58,-123.606
0.204,-0.684436363784747,0.727369329684557,-2.42203456459877,-0.0427944489779856,-176.58,-123.606
0.216,-0.713500778559932,0.726149476296821,-2.42203456459877,-0.160514448977986,-176.58,-123.606
0.228,-0.742565193335117,0.723516982909086,-2.42203456459877,-0.278234448977986,-176.58,-123.606
0.24,-0.771629608110303,0.71947184952135,-2.42203456459877,-0.395954448977986,-176.58,-123.606
0.252,-0.800694022885488,0.714014076133614,-2.42203456459877,-0.513674448977986,-176.58,-123.606
0.264,-0.829758437660673,0.707143662745878,-2.42203456459877,-0.631394448977986,-176.58,-123.606
0.276,-0.858822852435859,0.698860609358142,-2.42203456459877,-0.749114448977986,-176.58,-123.606
0.288,-0.887887267211044,0.689164915970406,-2.42203456459877,-0.866834448977986,-176.58,-123.606
0.3,-0.916951681986229,0.678056582582671,-2.42203456459877,-0.984554448977986,-176.58,-123.606
0.312,-0.946016096761414,0.665535609194935,-2.42203456459877,-1.10227444897799,-176.58,-123.606
0.324,-0.9750805115366,0.651601995807199,-2.42203456459877,-1.21999444897799,-176.58,-123.606
0.336,-1.00414492631178,0.636255742419463,-2.42203456459877,-1.33771444897799,-176.58,-123.606
0.348,-1.03320934108697,0.619496849031727,-2.42203456459877,-1.45543444897799,-176.58,-123.606
0.36,-1.06227375586216,0.601325315643991,-2.42203456459877,-1.57315444897799,-176.58,-123.606
0.372,-1.09133817063734,0.581741142256256,-2.42203456459877,-1.69087444897799,-176.58,-123.606
0.384,-1.12040258541253,0.56074432886852,-2.42203456459877,-1.80859444897799,-176.58,-123.606
0.385095864929891,-1.12305680815085,0.558756463127161,-2.42203456459877,-1.81934488394022,-176.58,-123.606
0.385095864929895,-1.12305680815086,0.558756463127155,-2.42203456459877,-1.81934488394025,-176.58,-123.606
0.385095864929898,-1.12305680815087,0.558756463127148,-2.42203456459877,-1.81934488394029,-176.58,-123.606
