Time,xm,zm,vxm,vzm,xM,zM,vxM,vzM,NormalForce,TangentialStress,MaximunBendingMoment,MinimunBendingMoment
0,0.137421986754513,0.243957368317586,0,-1.5,0.303945005349268,0.469057533306622,0,-1.5,0,-176.58,-94.7646,8.2404
0.012,0.141359383339186,0.222569479690658,0.737875227832113,-2.11348040239841,0.303141717200279,0.450955057475528,-0.153105880843261,-1.50052479778022,-17.7828279236275,-128.354035257051,27.3092235523013,44.9689561372552
0.024,0.151151894109622,0.196180094284799,0.805260004140991,-2.21939255126066,0.300982441929146,0.432631781652835,-0.192767715826672,-1.55882720147139,-48.1706094120698,-69.9248306602848,-42.2790402374955,3.27380210451215
0.036,0.160387654451498,0.169582662040212,0.729434992482616,-2.20667752977252,0.298473910651357,0.413678134682335,-0.228433822402183,-1.59362105527994,-78.5886822916895,-10.8239065403916,-6.2290075751609,5.14788525466852
0.048,0.167895850632231,0.143746803630423,0.50085181673282,-2.08399226941135,0.295550609243151,0.394470864211146,-0.25878101242021,-1.60276593868404,-111.01715204402,48.8361333590289,30.1995200090274,15.9463427093289
0.06,0.173044645092551,0.119282197410901,0.36921805776972,-1.99641321190194,0.292037892508005,0.37545493442764,-0.332809816739914,-1.55844274051292,-138.828692338003,105.089249399774,67.8229557719052,11.0569058488497
0.072,0.176518962730484,0.0960580106775826,0.206671593851129,-1.86853360241618,0.28753108268312,0.357196980364107,-0.420680768522162,-1.47873155717388,-161.447336559224,157.51025592047,101.040943911973,13.6372858098189
0.084,0.178225970771612,0.0744184388804292,0.0805619996666784,-1.73547062250174,0.281824205298554,0.3401334309814,-0.534414368531512,-1.35894117164087,-186.874863633747,208.290546440532,133.833118446231,13.604167223962
0.096,0.17839741412281,0.0545296274636349,-0.0462079021161895,-1.57802761591322,0.27463253003745,0.324715679005948,-0.668539585122001,-1.20472627006368,-210.79482034411,254.993705308007,164.154752364849,12.6098465439358
0.108,0.178709298927662,0.0359334496757464,0.122843945934311,-1.52676118035177,0.265395255347924,0.311482441516181,-0.878915054980223,-0.994015318884159,-231.703540403433,297.259729094477,196.216284283341,9.32035166060258
0.12,0.179132686427211,0.018985117456124,-0.116771634181702,-1.2676251299615,0.253908637550725,0.300771149558142,-1.02521398027854,-0.792271690291066,-252.51944581131,335.375031750226,213.1591575318,31.5107813449616
0.132,0.175574126368423,0.00567561065282111,-0.4648605353472,-0.95376246546054,0.240801460528522,0.292544845729719,-1.1632863736683,-0.574153927597821,-265.279662364751,365.44621335131,233.152478030219,27.1712827379015
0.144,0.170256357264944,-0.00474024007085307,-0.376379581664656,-0.796347605437856,0.22550346497368,0.287242044614275,-1.39701163446334,-0.303572354935895,-275.601193957578,389.125699362294,251.451941831289,13.9749660804156
0.156,0.165022258719808,-0.0127844618538234,-0.532363563440385,-0.52913202471426,0.207540678410005,0.285196859514056,-1.59086792432042,-0.0379561947980219,-286.56867808782,407.298740379946,259.34414113097,25.1685456551074
0.168,0.157258024666773,-0.0173435252598199,-0.762507160201154,-0.229832874262741,0.187337378255725,0.286358220548541,-1.77701497802704,0.23271933966493,-292.927104498335,417.690750658325,266.198726766394,25.6776511682948
0.18,0.147301062684166,-0.0184613122923261,-0.883441344834167,0.0403440807477792,0.164780530061166,0.290834349135285,-1.98409733758557,0.514298932292446,-284.40649726043,420.249803648723,267.243399987139,21.5652223302396
0.192,0.135729383097614,-0.0162626799347148,-1.04663213869216,0.326861093523774,0.139818391193376,0.2986762549747,-2.17490755401198,0.791947191984619,-276.626049930877,415.921519343023,263.969263578662,22.1324699416046
